,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
15,"(2, 3, 8, 22, 30, 39, 40, 41, 42, 49, 55, 59, 62, 65, 68)",[0.29500805 0.30819035 0.29890402 0.27458746 0.31140065],0.2976181066409881,"('time_to_lastcredit_closeddt', 'close_loan_median', 'micro_loans_active_100', 'is_lost_1', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.016665298657267208,0.012966168530323188,0.006483084265161593
16,"(2, 3, 8, 22, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.29200388 0.30824373 0.29646902 0.27519894 0.30471822],0.2953267579116216,"('time_to_lastcredit_closeddt', 'close_loan_median', 'micro_loans_active_100', 'is_lost_1', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.014906304761608738,0.011597611520696969,0.0057988057603484845
17,"(2, 3, 8, 17, 22, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.28664708 0.30531845 0.29121622 0.28148635 0.30473083],0.2938797859636559,"('time_to_lastcredit_closeddt', 'close_loan_median', 'micro_loans_active_100', 'is_lost_3', 'is_lost_1', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.012349393096360012,0.00960824737844038,0.004804123689220189
18,"(2, 3, 7, 8, 17, 22, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.28968254 0.30358907 0.28165106 0.28106312 0.29960053],0.29111726426288725,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_3', 'is_lost_1', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.011783601388255911,0.009168042207731474,0.004584021103865737
19,"(2, 3, 7, 8, 12, 17, 22, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.28969175 0.30585899 0.28561501 0.28023794 0.29449082],0.29117890003688274,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.01119527349654591,0.008710303120548952,0.004355151560274476
20,"(2, 3, 7, 8, 12, 17, 22, 28, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.28742914 0.30003341 0.27804878 0.27281913 0.29304524],0.2862751411103907,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_3', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.012661168141425727,0.009850818955524499,0.004925409477762249
21,"(2, 3, 7, 8, 12, 17, 22, 26, 28, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.28523264 0.29192125 0.27539823 0.28066599 0.28158348],0.28296031592792625,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.007035287035900695,0.005473692325754261,0.00273684616287713
22,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 68)",[0.29321514 0.28865979 0.27984414 0.26434783 0.28453324],0.2821200273804073,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'overall_worst_overdue_state_12')",0.012759054430875362,0.009926977814235292,0.004963488907117645
23,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 65, 66, 68)",[0.28749136 0.28571429 0.27793696 0.26620209 0.28759074],0.28098708735094624,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.010538751547594148,0.008199506740056081,0.004099753370028041
24,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 39, 40, 41, 42, 49, 55, 56, 59, 62, 63, 65, 66, 68)",[0.28432732 0.27282341 0.26342162 0.25754386 0.27849877],0.27132299558591727,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.012529469107730382,0.00974835263306049,0.004874176316530245
25,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 39, 40, 41, 42, 49, 55, 56, 59, 62, 63, 65, 66, 68)",[0.26652299 0.27659574 0.26711062 0.25733138 0.26394459],0.266301063107445,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.007979024060740768,0.0062079517929283555,0.0031039758964641773
26,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 39, 40, 41, 42, 49, 55, 56, 59, 60, 62, 63, 65, 66, 68)",[0.26917511 0.27007029 0.26288275 0.265087   0.25697504],0.2648380381299188,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_active_type_credit_card_3', 'is_active_type_consumer_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.006080352498231357,0.0047307208131826825,0.0023653604065913413
27,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 39, 40, 41, 42, 49, 55, 56, 57, 59, 60, 62, 63, 65, 66, 68)",[0.25560044 0.26025354 0.25674136 0.25590994 0.25037258],0.25577557288903696,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_type_consumer_3', 'is_active_type_credit_card_3', 'is_active_type_consumer_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.004073623292529368,0.003169417315959892,0.0015847086579799457
28,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 39, 40, 41, 42, 49, 54, 55, 56, 57, 59, 60, 62, 63, 65, 66, 68)",[0.26527571 0.23904689 0.26040473 0.24808576 0.24114544],0.250791705684803,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_active_type_consumer_12', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_type_consumer_3', 'is_active_type_credit_card_3', 'is_active_type_consumer_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.013363440954494916,0.01039721106260795,0.005198605531303975
29,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 39, 40, 41, 42, 49, 51, 54, 55, 56, 57, 59, 60, 62, 63, 65, 66, 68)",[0.26716981 0.23828125 0.24678863 0.23816912 0.24240122],0.24656200683745516,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_type_consumer_12', 'is_active_type_consumer_12', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_type_consumer_3', 'is_active_type_credit_card_3', 'is_active_type_consumer_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.013855609867496215,0.01078013519751855,0.005390067598759275
30,"(2, 3, 7, 8, 12, 17, 22, 25, 26, 28, 30, 35, 36, 39, 40, 41, 42, 49, 51, 54, 55, 56, 57, 59, 60, 62, 63, 65, 66, 68)",[0.25961172 0.23449921 0.2464455  0.23092289 0.24705882],0.2437076286353212,"('time_to_lastcredit_closeddt', 'close_loan_median', 'is_lost_100', 'micro_loans_active_100', 'is_lost_12', 'is_lost_3', 'is_lost_1', 'ratio_history_100', 'ratio_history_12', 'ratio_history_3', 'ratio_history_1', 'mean_delay_1_with_lag', 'ratio_mean_delay_3_to_12', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'ratio_pattern_len_to_pattern_bad_len', 'is_active_type_micro_100', 'is_type_consumer_12', 'is_active_type_consumer_12', 'is_active_type_micro_12', 'is_type_credit_card_3', 'is_type_consumer_3', 'is_active_type_credit_card_3', 'is_active_type_consumer_3', 'is_type_credit_card_1', 'is_type_consumer_1', 'is_active_type_credit_card_1', 'is_active_type_consumer_1', 'overall_worst_overdue_state_12')",0.013106328196812383,0.010197168602165508,0.005098584301082754
